performance_id,provider_id,provider_name,total_patients,total_encounters,patient_satisfaction_score,average_visit_duration,appointment_no_show_rate,referral_rate,avg_procedures_per_visit,prescribing_efficiency,patient_retention_rate,quality_score,measurement_period
PERF513697,PROV00044,Dr. Miller C,129,134,4.45,19.6,0.181,0.184,1.87,0.62,0.751,68.7,2024
PERF829876,PROV00045,Dr. Miller B,169,172,3.6,26.8,0.07,0.191,2.3,0.73,0.732,65.8,2024
PERF941941,PROV00046,Dr. Brown B,159,160,3.91,39.9,0.211,0.36,0.86,0.69,0.752,89.8,2024
PERF838946,PROV00047,Dr. Davis A,151,152,4.16,28.4,0.117,0.268,1.02,0.83,0.926,83.9,2024
PERF752626,PROV00048,Dr. Brown C,153,154,3.64,31.2,0.239,0.36,0.56,0.67,0.939,73.8,2024
PERF474655,PROV00049,Dr. Williams B,152,153,4.48,33.6,0.144,0.264,1.85,0.74,0.972,89.2,2024
PERF243014,PROV00050,Dr. Rodriguez C,164,166,4.12,26.5,0.232,0.232,1.89,0.92,0.786,88.6,2024
PERF625476,PROV00051,Dr. Smith A,138,140,4.6,27.7,0.169,0.174,2.2,0.67,0.958,98.2,2024
PERF471354,PROV00052,Dr. Jones B,155,157,4.69,25.3,0.156,0.18,1.28,0.7,0.952,81.4,2024
PERF876011,PROV00053,Dr. Brown B,143,145,4.68,49.7,0.058,0.36,0.73,0.65,0.907,74.8,2024
PERF894429,PROV00054,Dr. Miller C,151,155,4.24,45.7,0.073,0.329,0.59,0.64,0.931,64.9,2024
PERF518824,PROV00055,Dr. Rodriguez A,136,138,4.99,34.2,0.059,0.316,1.63,0.68,0.844,77.2,2024
PERF101781,PROV00056,Dr. Smith A,141,142,4.49,32.6,0.187,0.393,1.98,0.74,0.78,99.4,2024
PERF494724,PROV00057,Dr. Rodriguez A,150,152,4.32,43.7,0.117,0.365,1.33,0.74,0.856,89.8,2024
PERF995086,PROV00058,Dr. Williams A,130,130,4.52,31.7,0.086,0.186,0.54,0.63,0.941,73.5,2024
PERF895738,PROV00059,Dr. Miller B,137,139,4.72,14.9,0.14,0.306,1.08,0.85,0.971,74.6,2024
PERF242889,PROV00060,Dr. Smith B,180,183,4.89,28.7,0.072,0.119,1.49,0.81,0.734,97.6,2024
PERF494933,PROV00061,Dr. Williams B,141,143,4.97,38.5,0.179,0.353,1.71,0.64,0.878,62.2,2024
PERF879390,PROV00062,Dr. Smith C,154,156,4.39,31.7,0.117,0.231,1.34,0.94,0.925,66.8,2024
PERF315769,PROV00063,Dr. Williams B,144,146,3.91,37.8,0.091,0.36,0.85,0.63,0.905,97.2,2024
PERF337376,PROV00064,Dr. Miller B,158,161,4.76,39.0,0.127,0.369,1.18,0.84,0.96,85.2,2024
PERF227139,PROV00065,Dr. Jones B,149,150,4.53,52.9,0.199,0.348,1.47,0.79,0.778,62.3,2024
PERF236684,PROV00066,Dr. Brown C,199,204,3.83,34.5,0.222,0.217,2.06,0.65,0.731,60.1,2024
PERF753642,PROV00067,Dr. Rodriguez B,156,157,3.84,49.5,0.16,0.223,1.37,0.87,0.976,96.2,2024
PERF226677,PROV00068,Dr. Smith B,145,149,4.85,40.9,0.146,0.307,1.4,0.92,0.802,65.5,2024
PERF300125,PROV00069,Dr. Johnson A,154,157,3.78,31.1,0.068,0.17,1.5,0.61,0.926,75.4,2024
PERF890762,PROV00070,Dr. Davis B,163,164,3.82,53.2,0.14,0.306,1.15,0.86,0.793,90.7,2024
PERF415572,PROV00071,Dr. Johnson B,146,152,4.93,56.3,0.092,0.337,1.91,0.93,0.957,68.3,2024
PERF665852,PROV00072,Dr. Davis C,146,150,4.77,31.2,0.219,0.129,1.66,0.62,0.967,90.4,2024
PERF299170,PROV00073,Dr. Jones B,160,164,4.71,33.6,0.094,0.375,0.54,0.78,0.832,61.9,2024
PERF741523,PROV00074,Dr. Rodriguez A,164,167,4.25,46.0,0.12,0.173,0.98,0.68,0.727,99.1,2024
PERF861949,PROV00075,Dr. Davis B,133,134,3.91,45.2,0.108,0.139,1.94,0.61,0.815,63.7,2024
PERF185682,PROV00076,Dr. Davis C,155,159,3.54,31.4,0.202,0.185,2.06,0.91,0.799,65.2,2024
PERF804344,PROV00077,Dr. Smith B,156,158,4.84,39.8,0.07,0.331,0.96,0.64,0.704,75.0,2024
PERF116550,PROV00078,Dr. Jones C,132,134,4.79,32.6,0.161,0.223,2.43,0.87,0.749,82.9,2024
PERF433478,PROV00079,Dr. Jones C,155,158,4.76,13.5,0.134,0.128,2.08,0.94,0.748,74.7,2024
PERF802682,PROV00080,Dr. Davis B,152,158,4.51,41.2,0.056,0.161,0.74,0.89,0.823,88.1,2024
PERF128734,PROV00081,Dr. Brown A,139,143,4.08,45.2,0.222,0.374,1.85,0.9,0.752,89.8,2024
PERF909941,PROV00082,Dr. Williams C,155,158,3.93,12.5,0.209,0.311,1.71,0.74,0.895,64.8,2024
PERF349549,PROV00083,Dr. Williams C,159,163,4.23,45.9,0.189,0.193,2.18,0.64,0.875,88.9,2024
PERF732964,PROV00084,Dr. Johnson C,163,167,4.05,27.9,0.158,0.135,1.05,0.77,0.867,92.3,2024
PERF756538,PROV00085,Dr. Williams B,148,152,3.75,31.4,0.105,0.321,1.99,0.74,0.736,65.4,2024
PERF247990,PROV00086,Dr. Miller B,148,150,4.19,27.1,0.235,0.163,2.08,0.87,0.957,67.0,2024
PERF287585,PROV00087,Dr. Rodriguez C,162,163,4.58,45.3,0.066,0.276,0.66,0.67,0.973,93.5,2024
PERF503290,PROV00088,Dr. Rodriguez A,141,142,4.94,35.4,0.193,0.326,1.7,0.72,0.951,97.9,2024
PERF659630,PROV00089,Dr. Smith C,153,154,3.7,15.3,0.154,0.241,1.63,0.76,0.72,76.4,2024
PERF529997,PROV00090,Dr. Davis A,173,176,3.94,31.0,0.231,0.26,0.9,0.79,0.952,68.4,2024
PERF956558,PROV00091,Dr. Brown C,161,164,3.93,42.4,0.23,0.317,1.41,0.67,0.877,93.8,2024
PERF469054,PROV00092,Dr. Jones B,148,148,4.35,43.5,0.078,0.194,1.92,0.78,0.802,79.2,2024
PERF242889,PROV00093,Dr. Jones A,158,159,3.59,33.2,0.086,0.333,2.24,0.63,0.77,75.4,2024
PERF659395,PROV00094,Dr. Davis B,143,144,3.8,33.1,0.216,0.23,1.88,0.69,0.702,69.3,2024
PERF237737,PROV00095,Dr. Smith B,156,158,4.33,46.6,0.078,0.2,1.74,0.67,0.902,88.4,2024
PERF132541,PROV00096,Dr. Davis A,165,167,4.96,35.3,0.246,0.126,1.23,0.93,0.884,61.4,2024
PERF215912,PROV00097,Dr. Miller A,147,148,3.5,43.4,0.133,0.33,2.39,0.64,0.978,65.5,2024
PERF234733,PROV00098,Dr. Smith A,152,154,4.36,21.1,0.187,0.399,1.81,0.82,0.853,61.4,2024
PERF855411,PROV00099,Dr. Williams C,152,152,3.91,31.2,0.113,0.259,1.53,0.7,0.978,76.6,2024
PERF442218,PROV00100,Dr. Smith A,150,152,3.52,34.4,0.202,0.281,1.74,0.78,0.706,71.5,2024
PERF832462,PROV00101,Dr. Brown C,138,140,4.84,57.1,0.184,0.272,2.13,0.82,0.722,65.7,2024
PERF617437,PROV00102,Dr. Smith C,144,146,3.92,30.1,0.125,0.371,2.0,0.75,0.965,83.6,2024
PERF313729,PROV00103,Dr. Johnson A,131,132,4.39,30.9,0.085,0.343,2.08,0.65,0.923,61.0,2024
PERF261106,PROV00104,Dr. Rodriguez A,164,168,3.7,42.1,0.177,0.239,1.79,0.91,0.907,87.0,2024
PERF702926,PROV00105,Dr. Davis A,167,171,3.51,42.3,0.093,0.167,1.2,0.7,0.793,94.0,2024
PERF505450,PROV00106,Dr. Brown A,152,154,4.25,36.5,0.123,0.14,1.5,0.89,0.925,94.3,2024
PERF570312,PROV00107,Dr. Miller B,169,172,4.68,43.1,0.059,0.158,1.0,0.87,0.943,85.2,2024
PERF831293,PROV00108,Dr. Smith B,136,137,4.68,37.0,0.134,0.255,0.75,0.76,0.963,75.2,2024
PERF466443,PROV00109,Dr. Johnson A,134,136,4.77,52.1,0.14,0.127,1.5,0.85,0.739,89.4,2024
PERF467453,PROV00110,Dr. Smith A,165,166,4.81,49.4,0.214,0.339,0.89,0.81,0.752,85.5,2024
PERF579545,PROV00111,Dr. Miller A,144,148,4.65,44.6,0.088,0.179,1.76,0.67,0.825,69.5,2024
PERF209882,PROV00112,Dr. Brown B,172,175,4.4,43.4,0.131,0.39,2.13,0.82,0.957,94.9,2024
PERF249820,PROV00113,Dr. Jones A,158,159,3.77,57.0,0.105,0.245,1.39,0.68,0.738,71.2,2024
PERF312406,PROV00114,Dr. Miller B,139,143,3.71,36.2,0.176,0.339,1.68,0.65,0.742,75.0,2024
PERF246139,PROV00115,Dr. Rodriguez A,131,132,4.48,26.6,0.199,0.234,1.32,0.77,0.891,96.5,2024
PERF217608,PROV00116,Dr. Williams C,141,145,4.71,39.8,0.136,0.258,0.7,0.73,0.72,81.1,2024
PERF392688,PROV00117,Dr. Rodriguez B,144,148,4.52,41.4,0.066,0.144,1.73,0.86,0.745,74.1,2024
PERF334913,PROV00118,Dr. Williams C,149,151,3.85,31.8,0.104,0.177,1.46,0.63,0.862,61.1,2024
PERF350674,PROV00119,Dr. Rodriguez A,152,156,4.06,41.8,0.17,0.141,1.51,0.65,0.737,64.0,2024
PERF677317,PROV00120,Dr. Miller B,154,155,4.8,22.1,0.237,0.193,1.9,0.73,0.94,64.3,2024
PERF673461,PROV00121,Dr. Miller C,169,173,3.79,36.4,0.128,0.354,1.66,0.93,0.777,62.6,2024
PERF215594,PROV00122,Dr. Davis C,161,162,3.97,61.0,0.1,0.374,1.35,0.86,0.706,87.2,2024
PERF835294,PROV00123,Dr. Miller B,146,148,4.98,43.6,0.179,0.195,0.65,0.78,0.776,88.6,2024
PERF207035,PROV00124,Dr. Jones B,143,143,4.37,42.9,0.197,0.384,0.63,0.73,0.878,64.6,2024
PERF404780,PROV00125,Dr. Rodriguez B,167,168,4.85,24.1,0.112,0.323,1.43,0.77,0.819,97.1,2024
PERF711284,PROV00126,Dr. Miller C,186,193,4.95,20.0,0.054,0.345,0.76,0.68,0.819,68.5,2024
PERF736912,PROV00127,Dr. Miller B,150,151,4.59,28.5,0.057,0.239,1.14,0.76,0.74,63.0,2024
PERF595550,PROV00128,Dr. Smith B,155,160,3.67,46.2,0.172,0.241,2.16,0.88,0.74,76.8,2024
PERF218332,PROV00129,Dr. Miller C,153,157,3.95,47.0,0.152,0.274,1.42,0.86,0.838,99.9,2024
PERF265765,PROV00130,Dr. Brown C,152,154,4.51,47.8,0.243,0.4,0.82,0.65,0.903,93.2,2024
PERF434481,PROV00131,Dr. Davis A,149,151,4.04,54.9,0.081,0.378,1.7,0.72,0.936,90.6,2024
PERF654230,PROV00132,Dr. Johnson B,155,158,3.97,45.9,0.141,0.199,1.65,0.86,0.945,80.8,2024
PERF460544,PROV00133,Dr. Johnson B,147,149,4.33,29.5,0.104,0.327,0.85,0.83,0.707,60.1,2024
PERF243714,PROV00134,Dr. Miller B,171,178,3.94,30.7,0.229,0.283,0.88,0.87,0.704,89.8,2024
PERF310519,PROV00135,Dr. Johnson C,136,136,4.13,33.5,0.053,0.352,1.58,0.88,0.891,71.1,2024
PERF162981,PROV00136,Dr. Brown C,153,156,4.77,14.0,0.098,0.274,0.92,0.79,0.883,82.0,2024
PERF832020,PROV00137,Dr. Miller A,138,139,4.93,22.1,0.051,0.327,1.78,0.87,0.797,99.7,2024
PERF469176,PROV00138,Dr. Miller A,156,156,4.57,36.3,0.126,0.354,1.68,0.79,0.799,87.1,2024
PERF818479,PROV00139,Dr. Miller A,136,141,4.83,29.2,0.161,0.365,2.01,0.95,0.857,70.0,2024
PERF695833,PROV00140,Dr. Smith B,152,153,4.59,37.9,0.225,0.4,1.95,0.88,0.723,78.4,2024
PERF818838,PROV00141,Dr. Williams A,125,130,3.57,34.2,0.091,0.191,1.86,0.88,0.823,85.2,2024
PERF401131,PROV00142,Dr. Davis C,145,146,4.37,44.2,0.128,0.342,0.93,0.67,0.861,62.6,2024
PERF746076,PROV00143,Dr. Miller A,162,169,4.61,47.5,0.051,0.212,2.42,0.93,0.775,70.2,2024
PERF671430,PROV00144,Dr. Johnson C,162,163,3.51,34.1,0.056,0.111,1.65,0.65,0.767,92.3,2024
PERF290703,PROV00145,Dr. Williams A,134,135,3.78,24.3,0.211,0.394,1.85,0.88,0.906,73.9,2024
PERF333576,PROV00146,Dr. Jones B,141,143,4.74,41.1,0.176,0.148,1.49,0.89,0.906,70.7,2024
PERF120039,PROV00147,Dr. Rodriguez B,174,177,4.82,50.8,0.129,0.323,0.72,0.82,0.742,66.0,2024
PERF323781,PROV00148,Dr. Jones B,142,146,4.72,27.9,0.083,0.34,0.67,0.87,0.936,93.1,2024
PERF782172,PROV00149,Dr. Williams A,148,150,3.76,30.3,0.113,0.324,0.82,0.74,0.816,90.9,2024
PERF557353,PROV00150,Dr. Brown A,144,146,3.54,26.0,0.222,0.202,0.63,0.79,0.791,84.6,2024
